,XS,X,Y,Z,sta
0,25124.67,2579637.8002158343,166328.36990203697,84.61,179.54000000000002
0,25124.67,2579637.703668496,166328.11775404183,84.61,179.81
0,25124.67,2579636.4378256155,166324.81181366093,84.45,183.35000000000002
0,25124.67,2579636.0945461905,166323.91528745592,84.37,184.31
0,25124.67,2579635.7155084917,166322.92537310458,84.32,185.37
0,25124.67,2579634.37099741,166319.4139788017,84.12,189.13000000000002
0,25124.67,2579634.342390791,166319.3392682846,84.11,189.21000000000004
0,25124.67,2579634.310208345,166319.2552189529,84.11,189.3
0,25124.67,2579633.6343769766,166317.4901829868,84.04,191.19000000000003
0,25124.67,2579632.9800005723,166315.78117990852,83.94,193.02000000000004
0,25124.67,2579632.28271424,166313.96011105465,84.04,194.97000000000003
0,25124.67,2579631.8250083397,166312.76474278132,84.01,196.25
0,25124.67,2579631.7105818647,166312.465900713,84.0,196.57000000000002
0,25124.67,2579631.1169945253,166310.9156574835,83.65,198.23000000000002
0,25124.67,2579630.3624949553,166308.94516759546,83.23,200.34000000000003
0,25124.67,2579630.1980068972,166308.51558212223,83.25,200.8
0,25124.67,2579629.7116943784,166307.24550333183,83.18,202.16000000000003
0,25124.67,2579628.6854319302,166304.5652635315,83.75,205.03000000000003
0,25124.67,2579627.730686029,166302.07180002384,83.83,207.70000000000002
0,25124.67,2579626.6650894796,166299.28883326252,83.77,210.68
0,25124.67,2579626.522056386,166298.9152806771,83.76,211.08000000000004
0,25124.67,2579626.482722285,166298.8125537161,83.77,211.19000000000003
0,25124.67,2579625.8354975358,166297.1222282671,83.4,213.0
0,25124.67,2579625.73537437,166296.86074145732,83.37,213.28000000000003
0,25124.67,2579623.9939464526,166292.3127387299,82.79,218.15000000000003
0,25124.67,2579622.3633691827,166288.0542392562,81.7,222.71000000000004
0,25124.67,2579620.990251482,166284.4681344362,80.98,226.55
0,25124.67,2579620.2822376676,166282.61904913842,80.69,228.53000000000003
0,25124.67,2579619.881745005,166281.57310189927,80.69,229.65000000000003
0,25124.67,2579618.8089968013,166278.77145750864,78.75,232.65000000000003
0,25124.67,2579615.672996219,166270.58131707346,72.63,241.42000000000002
0,25124.67,2579613.824293481,166265.75314990696,72.17,246.59000000000003
0,25124.67,2579610.048219804,166255.89136165206,72.0,257.15000000000003
0,25124.67,2579574.2899463465,166162.50321529858,72.0,357.15000000000003
0,25124.67,2579570.2850197195,166152.04374290697,72.17,368.35
0,25124.67,2579568.9190536733,166148.47631571628,73.37,372.17
0,25124.67,2579565.893903739,166140.57567853478,78.45,380.63
0,25124.67,2579564.6495158225,166137.32577104168,80.68,384.11
0,25124.67,2579564.4564211457,166136.82147505137,80.88,384.65000000000003
0,25124.67,2579564.3598738075,166136.5693270562,80.98,384.92
0,25124.67,2579562.8401471856,166132.6003308362,82.5,389.17
0,25124.67,2579561.6994582624,166129.6212489675,82.67,392.36
0,25124.67,2579561.685154953,166129.58389370897,82.67,392.40000000000003
0,25124.67,2579559.7577840136,166124.55027262052,83.79,397.79
0,25124.67,2579559.6040234375,166124.1487035912,83.9,398.22
0,25124.67,2579559.300078113,166123.3549043472,83.9,399.07000000000005
0,25124.67,2579558.4240004136,166121.06689476152,83.98,401.52000000000004
0,25124.67,2579556.5538427117,166116.18269470724,83.83,406.75
0,25124.67,2579555.31660645,166112.9514648434,84.03,410.21000000000004
0,25124.67,2579554.9482962335,166111.98956693598,83.99,411.24
0,25124.67,2579553.224747453,166107.48825828172,84.36,416.06
0,25124.67,2579552.874316373,166106.57305444748,84.42,417.04
0,25124.67,2579552.7884965166,166106.34892289623,84.53,417.28000000000003
0,25124.67,2579550.6286967997,166100.70827885647,86.83,423.32000000000005
0,25124.67,2579548.779994062,166095.88011169,88.46,428.49
0,25124.67,2579545.254228299,166086.67204045955,90.23,438.35
0,25124.67,2579542.086045271,166078.39785069262,94.59,447.21000000000004
0,25124.67,2579541.031176204,166075.6429003752,95.49,450.16
0,25124.67,2579536.42908641,166063.6238459395,99.4,463.03000000000003
0,25124.67,2579536.300356625,166063.28764861263,99.46,463.39
0,25124.67,2579536.017866265,166062.54988225646,99.78,464.18
0,25124.67,2579533.339571583,166055.55511009457,102.57,471.67
0,25124.67,2579532.803197481,166054.15428789926,103.01,473.17
0,25124.67,2579532.6101028044,166053.64999190895,103.09,473.71000000000004
0,25124.67,2579530.031931288,166046.91670655686,104.7,480.92
0,25124.67,2579528.344140781,166042.50878604897,107.88,485.64
0,25124.67,2579528.1939560324,166042.1165558343,108.18,486.06000000000006
0,25124.67,2579528.047347111,166041.73366443426,108.57,486.47
0,25124.67,2579527.207027685,166039.53904299493,110.0,488.82000000000005
0,25124.67,2579525.798151711,166035.85955002863,112.7,492.76
0,25124.67,2579524.9578322847,166033.6649285893,113.85,495.11
0,25124.67,2579521.2389718452,166023.95256136855,116.13,505.51
0,25124.67,2579520.648960333,166022.41165695371,115.9,507.16
0,25124.67,2579519.7335485327,166020.02092040706,116.4,509.72
0,25124.67,2579518.28176263,166016.22936166511,116.29,513.78
0,25124.67,2579516.81595,166012.40117,116.6,517.88
0,24525.16,2580078.90308,166609.06566,112.0,0.0
0,24525.16,2580088.5786010865,166593.22716601507,107.74,18.560000000000002
0,24525.16,2580092.0922332047,166587.47547153995,106.04,25.30000000000001
0,24525.16,2580092.6500353366,166586.56236870785,105.85,26.370000000000005
0,24525.16,2580093.624885791,166584.9665721695,106.01,28.24000000000001
0,24525.16,2580094.43813002,166583.6353194423,105.88,29.80000000000001
0,24525.16,2580094.896883175,166582.88435636545,105.75,30.680000000000007
0,24525.16,2580095.8613074212,166581.30562716976,105.64,32.53
0,24525.16,2580096.711043379,166579.91463874327,105.6,34.16
